id,type,name,vintage,adapted_from,adaptation,sequel,related,spinoff,episode_count,genres,themes,nb_votes,weighted_score,bayesian_score,begin_year,end_year
24200,movie,Gekij??-ban Utano???Princesama??? Maji Love ST???RISH Tours,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24199,movie,My Hero Academia THE MOVIE: World Heroes' Mission,8/6/2021,NA,NA,NA,25033,NA,NA,NA,NA,12,6.7886,7.1417,2021,NA
24198,TV,Vampire Dies in No Time,10/4/2021,24197,NA,25072,NA,NA,NA,comedy/supernatural,vampires,24,6.0754,6.54853,2021,NA
24196,TV,Visual Prison,10/8/2021,NA,NA,NA,NA,NA,NA,NA,NA,12,5.141,6.3179,2021,NA
24195,TV,IDOLiSH7 Third Beat!,7/4/2021,NA,NA,24799,NA,NA,NA,drama,NA,30,8.1809,7.98487,2021,NA
24193,movie,Gekij??-ban Jujutsu Kaisen 0,12/24/2021,24194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
24192,TV,takt op. Destiny,10/5/2021,NA,NA,NA,NA,NA,NA,NA,NA,52,6.4699,6.66207,2021,NA
24191,TV,She Professed Herself Pupil of the Wise Man,1/11/2022,24190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24189,TV,Akebi's Sailor Uniform,1/8/2022,24188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24186,TV,Do It Yourself!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24183,TV,Kanashiki Debu Neko-chan,12/6/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
24167,TV,"Science Fell in Love, So I Tried to Prove it",2022-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24164,TV,Mushoku Tensei: Jobless Reincarnation,10/3/2021,NA,NA,NA,NA,NA,NA,fantasy,gods,104,8.5114,8.40623,2021,NA
24163,movie,Aria the Benedizione,12/3/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
24161,TV,Encouragement of Climb: Next Summit,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24160,TV,Higurashi: When They Cry ?€? SOTSU,7/1/2021,NA,NA,NA,NA,NA,NA,NA,NA,145,5.9554,6.07306,2021,NA
24159,TV,Scarlet Nexus,7/1/2021,NA,NA,NA,NA,NA,NA,science fiction,NA,106,4.5112,4.81462,2021,NA
24157,TV,Bakugan: Geogan Rising,1/24/2021,NA,NA,24877,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
24156,TV,Mieruko-chan,10/3/2021,23773,NA,NA,NA,NA,NA,NA,NA,83,7.3066,7.33037,2021,NA
24155,movie,BanG Dream! FILM LIVE 2nd Stage,8/20/2021,NA,NA,NA,NA,NA,NA,NA,NA,2,8.1245,NA,2021,NA
24154,TV,Irina: The Vampire Cosmonaut,10/3/2021,24153,NA,NA,NA,NA,NA,NA,NA,50,7.3315,7.36311,2021,NA
24152,TV,D_Cide Traumerei the Animation,7/10/2021,NA,NA,NA,NA,NA,NA,NA,NA,134,6.5311,6.61031,2021,NA
24151,TV,AMAIM Warrior at the Borderline,10/4/2021,NA,NA,25102,NA,NA,13,NA,NA,12,5.4255,6.46015,2021,NA
24149,TV,Requiem of the Rose King,1/9/2022,16271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
24148,TV,Record of Ragnarok,6/17/2021,24147,NA,24643,NA,NA,NA,NA,NA,46,6.0367,6.33838,2021,NA
24145,movie,"Uch?? Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku",6/11/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
24143,movie,Magnificent KOTOBUKI: The Movie,9/11/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA
24142,movie,Sing a Bit of Harmony,10/29/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
24141,TV,Gunma-chan,10/3/2021,NA,NA,NA,NA,NA,39,adventure/comedy/slice of life,NA,NA,NA,NA,2021,NA
24139,TV,Seirei Gensouki - Spirit Chronicles,7/5/2021,21173,NA,24949,NA,NA,NA,NA,NA,227,6.266,6.3277,2021,NA
24136,TV,Ahare! Meisaku-kun,4/2/2021,NA,NA,NA,NA,NA,NA,NA,NA,3,4.8988,NA,2021,NA
24135,TV,Ahare! Meisaku-kun,2020-04-03 to 2021-03-05,NA,NA,24136,NA,NA,38,NA,NA,NA,NA,NA,2020,2021
24134,TV,Ahare! Meisaku-kun,2019-04-05 to 2020-02-21,NA,NA,24135,NA,NA,39,NA,NA,NA,NA,NA,2019,2020
24133,TV,Ahare! Meisaku-kun,2018-04-06 to 2019-02-22,NA,NA,24134,NA,NA,39,NA,NA,NA,NA,NA,2018,2019
24132,TV,Ahare! Meisaku-kun,2017-04-07 to 2018-02-23,NA,NA,24133,NA,NA,39,NA,NA,NA,NA,NA,2017,2018
